omega:    5.00000
   rho:            u1:                u2:                 u3:
0.012500000   5.095830590E-05   8.734622825E-05   0.0001178334337
0.025000000   0.0002037376945   0.0003490028995   0.0004705240187
0.037500000   0.0004580518024   0.0007838257204    0.001055648274
0.050000000   0.0008134241025    0.001389913352    0.001869185917
0.062500000    0.001269189020    0.002164616101    0.002905547992
0.075000000    0.001824493491    0.003104548038    0.004157615975
0.087500000    0.002478298956    0.004205602460    0.005616791558
0.10000000    0.003229383787    0.005462970650    0.007273056765
0.11250000    0.004076346138    0.006871163815    0.009115043960
0.12500000    0.005017607213    0.008424038120     0.01113011524
0.13750000    0.006051414940     0.01011482267     0.01330445067
0.15000000    0.007175848038     0.01193615034     0.01562314465
0.16250000    0.008388820472     0.01388009122     0.01807030982
0.17500000    0.009688086283     0.01593818869     0.02062918773
0.18750000     0.01107124476     0.01810149767     0.02328226536
0.20000000     0.01253574598     0.02036062517     0.02601139690
0.21250000     0.01407889666     0.02270577272     0.02879792964
0.22500000     0.01569786628     0.02512678053     0.03162283333
0.23750000     0.01738969361     0.02761317326     0.03446683187
0.25000000     0.01915129339     0.03015420705     0.03731053660
0.26250000     0.02097946331     0.03273891768     0.04013457999
0.27500000     0.02287089126     0.03535616953     0.04291974911
0.28750000     0.02482216275     0.03799470526     0.04564711761
0.30000000     0.02682976854     0.04064319583     0.04829817554
0.31250000     0.02889011247     0.04329029067     0.05085495595
0.32500000     0.03099951936     0.04592466779     0.05330015742
0.33750000     0.03315424316     0.04853508362     0.05561726172
0.35000000     0.03535047511     0.05111042224     0.05779064572
0.36250000     0.03758435204     0.05363974386     0.05980568686
0.37500000     0.03985196468     0.05611233235     0.06164886132
0.38750000     0.04214936610     0.05851774151     0.06330783440
0.40000000     0.04447258007     0.06084583994     0.06477154239
0.41250000     0.04681760949     0.06308685431     0.06603026541
0.42500000     0.04918044476     0.06523141077     0.06707569076
0.43750000     0.05155707212     0.06727057443     0.06790096634
0.45000000     0.05394348190     0.06919588666     0.06850074391
0.46250000     0.05633567671     0.07099939999     0.06887121171
0.47500000     0.05872967950     0.07267371066     0.06901011655
0.48750000     0.06112154152     0.07421198847     0.06891677501
0.50000000     0.06350735008     0.07560800397     0.06859207386
0.51250000     0.06588323620     0.07685615276     0.06803845971
0.52500000     0.06824538204     0.07795147694     0.06725991802
0.53750000     0.07059002814     0.07888968344     0.06626194162
0.55000000     0.07291348044     0.07966715945     0.06505148911
0.56250000     0.07521211708     0.08028098460     0.06363693343
0.57500000     0.07748239493     0.08072894007     0.06202800093
0.58750000     0.07972085586     0.08100951453     0.06023570156
0.60000000     0.08192413276     0.08112190691     0.05827225063
0.61250000     0.08408895522     0.08106602604     0.05615098271
0.62500000     0.08621215500     0.08084248718     0.05388625838
0.63750000     0.08829067109     0.08045260548     0.05149336443
0.65000000     0.09032155453     0.07989838641     0.04898840833
0.66250000     0.09230197287     0.07918251325     0.04638820764
0.67500000     0.09422921430     0.07830833177     0.04371017523
0.68750000     0.09610069146     0.07727983210     0.04097220111
0.70000000     0.09791394489     0.07610162795     0.03819253157
0.71250000     0.09966664615     0.07477893339     0.03538964676
0.72500000      0.1013566006     0.07331753710     0.03258213723
0.73750000      0.1029817497     0.07172377449     0.02978858051
0.75000000      0.1045401732     0.07000449763     0.02702741851
0.76250000      0.1060300910     0.06816704327     0.02431683648
0.77500000      0.1074498641     0.06621919913     0.02167464450
0.78750000      0.1087979960     0.06416916844     0.01911816211
0.80000000      0.1100731331     0.06202553325     0.01666410700
0.81250000      0.1112740653     0.05979721627     0.01432848838
0.82500000      0.1123997260     0.05749344188     0.01212650570
0.83750000      0.1134491913     0.05512369602     0.01007245346
0.85000000      0.1144216801     0.05269768563    0.008179632582
0.86250000      0.1153165525     0.05022529738    0.006460268991
0.87500000      0.1161333092     0.04771655628    0.004925439782
0.88750000      0.1168715892     0.04518158401    0.003585007496
0.90000000      0.1175311686     0.04263055741    0.002447562820
0.91250000      0.1181119581     0.04007366720    0.001520376029
0.92500000      0.1186140009     0.03752107712   0.0008093574168
0.93750000      0.1190374698     0.03498288364   0.0003190268911
0.95000000      0.1193826647     0.03246907650   5.249284996E-05
0.96250000      0.1196500093     0.02998950012   1.144038974E-05
0.97500000      0.1198400476     0.02755381614   0.0001961288314
0.98750000      0.1199534408     0.02517146716   0.0006053984888
 1.0000000      0.1199909634     0.02285164188    0.001236686541
 1.0125000      0.1199534994     0.02060324171    0.002086051810
 1.0250000      0.1198420381     0.01843484905    0.003148208195
 1.0375000      0.1196576701     0.01635469726    0.004416566441
 1.0500000      0.1194015831     0.01437064250    0.005883283889
 1.0625000      0.1190750572     0.01249013745    0.007539321795
 1.0750000      0.1186794606     0.01072020717    0.009374509759
 1.0875000      0.1182162449    0.009067426851     0.01137761676
 1.1000000      0.1176869403    0.007537901869     0.01353642829
 1.1125000      0.1170931510    0.006137249958     0.01583782896
 1.1250000      0.1164365505    0.004870585622     0.01826789003
 1.1375000      0.1157188764    0.003742506805     0.02081196125
 1.1500000      0.1149419259    0.002757083837     0.02345476631
 1.1625000      0.1141075507    0.001917850656     0.02618050130
 1.1750000      0.1132176523    0.001227798302     0.02897293548
 1.1875000      0.1122741768   0.0006893706761     0.03181551370
 1.2000000      0.1112791107   0.0003044625254     0.03469145979
 1.2125000      0.1102344756   7.441963748E-05     0.03758388026
 1.2250000      0.1091423235   4.118650118E-08     0.04047586761
 1.2375000      0.1080047323   8.158418643E-05     0.04335060272
 1.2500000      0.1068238013   0.0003187699888     0.04619145545
 1.2625000      0.1056016463   0.0007107927574     0.04898208312
 1.2750000      0.1043403954    0.001256329844     0.05170652606
 1.2875000      0.1030421848    0.001953553983     0.05434929982
 1.3000000      0.1017091541    0.002800147218     0.05689548337
 1.3125000      0.1003434428    0.003793316463     0.05933080294
 1.3250000     0.09894718580    0.004929810602     0.06164171092
 1.3375000     0.09752250974    0.006205939021     0.06381545950
 1.3500000     0.09607152922    0.007617591469     0.06584016855
 1.3625000     0.09459634326    0.009160259131     0.06770488757
 1.3750000     0.09309903173     0.01082905680     0.06939965126
 1.3875000     0.09158165214     0.01261874606     0.07091552852
 1.4000000     0.09004623643     0.01452375927     0.07224466474
 1.4125000     0.08849478795     0.01653822441     0.07338031719
 1.4250000     0.08692927866     0.01865599042     0.07431688326
 1.4375000     0.08535164638     0.02087065323     0.07504992182
 1.4500000     0.08376379231     0.02317558197     0.07557616728
 1.4625000     0.08216757862     0.02556394567     0.07589353674
 1.4750000     0.08056482625     0.02802873999     0.07600113008
 1.4875000     0.07895731288     0.03056281408     0.07589922314
 1.5000000     0.07734677103     0.03315889731     0.07558925429
 1.5125000     0.07573488633     0.03580962597     0.07507380433
 1.5250000     0.07412329595     0.03850756952     0.07435657025
 1.5375000     0.07251358723     0.04124525668     0.07344233285
 1.5500000     0.07090729636     0.04401520093     0.07233691869
 1.5625000     0.06930590734     0.04680992549     0.07104715662
 1.5750000     0.06771085101     0.04962198775     0.06958082930
 1.5875000     0.06612350425     0.05244400284     0.06794662000
 1.6000000     0.06454518930     0.05526866660     0.06615405517
 1.6125000     0.06297717329     0.05808877756     0.06421344316
 1.6250000     0.06142066783     0.06089725805     0.06213580950
 1.6375000     0.05987682878     0.06368717434     0.05993282921
 1.6500000     0.05834675609     0.06645175579     0.05761675658
 1.6625000     0.05683149388     0.06918441286     0.05520035287
 1.6750000     0.05533203049     0.07187875407     0.05269681245
 1.6875000     0.05384929878     0.07452860178     0.05011968765
 1.7000000     0.05238417643     0.07712800683     0.04748281308
 1.7125000     0.05093748643     0.07967126197     0.04480022954
 1.7250000     0.04950999761     0.08215291409     0.04208610823
 1.7375000     0.04810242529     0.08456777519     0.03935467547
 1.7500000     0.04671543203     0.08691093221     0.03662013853
 1.7625000     0.04534962844     0.08917775552     0.03389661281
 1.7750000     0.04400557404     0.09136390630     0.03119805086
 1.7875000     0.04268377831     0.09346534263     0.02853817359
 1.8000000     0.04138470163     0.09547832443     0.02593040385
 1.8125000     0.04010875646     0.09739941716     0.02338780301
 1.8250000     0.03885630844     0.09922549448     0.02092301047
 1.8375000     0.03762767762      0.1009537396     0.01854818661
 1.8500000     0.03642313973      0.1025816459     0.01627495940
 1.8625000     0.03524292741      0.1041070157     0.01411437471
 1.8750000     0.03408723162      0.1055279593     0.01207685070
 1.8875000     0.03295620295      0.1068428915     0.01017213635
 1.9000000     0.03184995304      0.1080505286    0.008409274265
 1.9125000     0.03076855597      0.1091498832    0.006796567848
 1.9250000     0.02971204969      0.1101402596    0.005341552971
 1.9375000     0.02868043750      0.1110212469    0.004050974101
 1.9500000     0.02767368945      0.1117927124    0.002930764955
 1.9625000     0.02669174385      0.1124547940    0.001986033668
 1.9750000     0.02573450868      0.1130078915    0.001221052424
 1.9875000     0.02480186312      0.1134526585   0.0006392515056
 2.0000000     0.02389365894      0.1137899921   0.0002432176686
 2.0125000     0.02300972197      0.1140210237   3.469675076E-05
 2.0250000     0.02214985356      0.1141471084   1.460037682E-05
 2.0375000     0.02131383196      0.1141698141   0.0001830166250
 2.0500000     0.02050141375      0.1140909109   0.0005392244890
 2.0625000     0.01971233522      0.1139123595    0.001081711958
 2.0750000     0.01894631373      0.1136362997    0.001808197521
 2.0875000     0.01820304904      0.1132650387    0.002715654893
 2.1000000     0.01748222465      0.1128010396    0.003800340742
 2.1125000     0.01678350904      0.1122469091    0.005057825183
 2.1250000     0.01610655697      0.1116053857    0.006483024825
 2.1375000     0.01545101065      0.1108793279    0.008070238102
 2.1500000     0.01481650098      0.1100717024    0.009813182657
 2.1625000     0.01420264868      0.1091855720     0.01170503453
 2.1750000     0.01360906541      0.1082240845     0.01373846889
 2.1875000     0.01303535483      0.1071904607     0.01590570205
 2.2000000     0.01248111372      0.1060879837     0.01819853457
 2.2125000     0.01194593290      0.1049199874     0.02060839508
 2.2250000     0.01142939825      0.1036898462     0.02312638474
 2.2375000     0.01093109164      0.1024009641     0.02574332195
 2.2500000     0.01045059182      0.1010567649     0.02844978718
 2.2625000    0.009987475255     0.09966068231     0.03123616763
 2.2750000    0.009541316976     0.09821615056     0.03409270151
 2.2875000    0.009111691326     0.09672659515     0.03700952183
 2.3000000    0.008698172716     0.09519542436     0.03997669936
 2.3125000    0.008300336317     0.09362602094     0.04298428461
 2.3250000    0.007917758728     0.09202173422     0.04602234877
