omega:    5.00000
   rho:            u1:                u2:                 u3:
0.0050000000   2.755284189E-05   5.188418496E-05   7.341283842E-05
0.010000000   0.0001107149245   0.0002083829434   0.0002947028907
0.015000000   0.0002501733105   0.0004704818440   0.0006648248543
0.020000000   0.0004465227116   0.0008387837163    0.001183895803
0.025000000   0.0007002639919    0.001313504336    0.001851189852
0.030000000    0.001011802862    0.001894469582    0.002665137671
0.035000000    0.001381448764    0.002581114091    0.003623330871
0.040000000    0.001809413955    0.003372481401    0.004722531244
0.045000000    0.002295812789    0.004267225605    0.005958684832
0.050000000    0.002840661190    0.005263614502    0.007326940736
0.055000000    0.003443876340    0.006359534241    0.008821674583
0.060000000    0.004105276561    0.007552495430     0.01043651653
0.065000000    0.004824581397    0.008839640716     0.01216438362
0.070000000    0.005601411904     0.01021775377     0.01399751638
0.075000000    0.006435291138     0.01168326970     0.01592751937
0.080000000    0.007325644847     0.01323228675     0.01794540554
0.085000000    0.008271802356     0.01486057942     0.02004164407
0.090000000    0.009272997651     0.01656361271     0.02220621149
0.095000000     0.01032837066     0.01833655771     0.02442864575
0.10000000     0.01143696872     0.02017430821     0.02669810292
0.10500000     0.01259774824     0.02207149847     0.02900341623
0.11000000     0.01380957652     0.02402252199     0.03133315714
0.11500000     0.01507123379     0.02602155118     0.03367569794
0.12000000     0.01638141541     0.02806255796     0.03601927577
0.12500000     0.01773873417     0.03013933507     0.03835205743
0.13000000     0.01914172291     0.03224551813     0.04066220478
0.13500000     0.02058883709     0.03437460829     0.04293794033
0.14000000     0.02207845772     0.03651999542     0.04516761256
0.14500000     0.02360889424     0.03867498173     0.04733976067
0.15000000     0.02517838771     0.04083280569     0.04944317840
0.15500000     0.02678511398     0.04298666631     0.05146697647
0.16000000     0.02842718708     0.04512974745     0.05340064337
0.16500000     0.03010266268     0.04725524225     0.05523410410
0.17000000     0.03180954168     0.04935637756     0.05695777656
0.17500000     0.03354577384     0.05142643818     0.05856262517
0.18000000     0.03530926160     0.05345879089     0.06004021166
0.18500000     0.03709786384     0.05544690824     0.06138274234
0.19000000     0.03890939986     0.05738439183     0.06258311205
0.19500000     0.04074165326     0.05926499516     0.06363494412
0.20000000     0.04259237607     0.06108264593     0.06453262644
0.20500000     0.04445929269     0.06283146760     0.06527134318
0.21000000     0.04634010407     0.06450580028     0.06584710223
0.21500000     0.04823249178     0.06610022074     0.06625675797
0.22000000     0.05013412217     0.06760956159     0.06649802947
0.22500000     0.05204265046     0.06902892945     0.06656951379
0.23000000     0.05395572493     0.07035372210     0.06647069454
0.23500000     0.05587099098     0.07157964456     0.06620194552
0.24000000     0.05778609528     0.07270272398     0.06576452946
0.24500000     0.05969868977     0.07371932338     0.06516059185
0.25000000     0.06160643577     0.07462615414     0.06439314998
0.25500000     0.06350700786     0.07542028711     0.06346607720
0.26000000     0.06539809787     0.07609916257     0.06238408250
0.26500000     0.06727741872     0.07666059863     0.06115268553
0.27000000     0.06914270819     0.07710279842     0.05977818728
0.27500000     0.07099173262     0.07742435580     0.05826763648
0.28000000     0.07282229053     0.07762425963     0.05662879203
0.28500000     0.07463221615     0.07770189669     0.05487008162
0.29000000     0.07641938285     0.07765705309     0.05300055675
0.29500000     0.07818170639     0.07748991436     0.05102984453
0.30000000     0.07991714818     0.07720106399     0.04896809637
0.30500000     0.08162371836     0.07679148069     0.04682593402
0.31000000     0.08329947869     0.07626253422     0.04461439317
0.31500000     0.08494254543     0.07561597979     0.04234486490
0.32000000     0.08655109202     0.07485395128     0.04002903548
0.32500000     0.08812335158     0.07397895303     0.03767882457
0.33000000     0.08965761939     0.07299385043     0.03530632254
0.33500000     0.09115225510     0.07190185930     0.03292372686
0.34000000     0.09260568484     0.07070653409     0.03054327824
0.34500000     0.09401640320     0.06941175495     0.02817719671
0.35000000     0.09538297502     0.06802171381     0.02583761793
0.35500000     0.09670403704     0.06654089936     0.02353653029
0.36000000     0.09797829938     0.06497408121     0.02128571296
0.36500000     0.09920454688     0.06332629304     0.01909667522
0.37000000      0.1003816403     0.06160281510     0.01698059753
0.37500000      0.1015085172     0.05980915586     0.01494827453
0.38000000      0.1025841930     0.05795103307     0.01301006032
0.38500000      0.1036077616     0.05603435421     0.01117581623
0.39000000      0.1045783956     0.05406519641    0.009454861539
0.39500000      0.1054953473     0.05204978601    0.007855927098
0.40000000      0.1063579484     0.04999447766    0.006387112373
0.40500000      0.1071656101     0.04790573327    0.005055845945
0.41000000      0.1079178235     0.04579010066    0.003868849711
0.41500000      0.1086141587     0.04365419214    0.002832106959
0.42000000      0.1092542649     0.04150466306    0.001950834453
0.42500000      0.1098378697     0.03934819034    0.001229458649
0.43000000      0.1103647784     0.03719145120   0.0006715961448
0.43500000      0.1108348732     0.03504110199   0.0002800384400
0.44000000      0.1112481125     0.03290375733   5.674104931E-05
0.44500000      0.1116045297     0.03078596960   2.817001364E-06
0.45000000      0.1119042317     0.02869420876   0.0001185347230
0.45500000      0.1121473982     0.02663484270   0.0004033202875
0.46000000      0.1123342798     0.02461411809   0.0008557639807
0.46500000      0.1124651969     0.02263814186    0.001473631118
0.47000000      0.1125405375     0.02071286326    0.002253877018
0.47500000      0.1125607563     0.01884405668    0.003192666029
0.48000000      0.1125263720     0.01703730520    0.004285394461
